26/05/18 22:32:18.873 : INFO  : OK : Created new logfile: c:\tmp\20180526\VS_1_20180526223216.log
26/05/18 22:32:29.167 : INFO  : OK : INIT FFMPEG DRIVERS
26/05/18 22:32:29.950 : INFO  : OK : load lang
26/05/18 22:32:30.527 : INFO  : OK : ReadLanguage : C:\Program Files\Neural Labs\Neural Labs VPAR Server x64 2\Release\LANGUAGES\ENGLISH\LANG.TXT
26/05/18 22:32:30.533 : INFO  : OK : Load LIGHT RLC
26/05/18 22:32:30.704 : INFO  : OK :CHEKING SECURITY
26/05/18 22:32:30.709 : INFO  : OK : Checking names
26/05/18 22:32:32.523 : INFO  : OK : Waiting for initialization : 10 Seconds. Press ESC to bypass
26/05/18 22:32:42.541 : INFO  : OK : CHEKING FEATURE
26/05/18 22:32:49.838 : INFO  : OK : Feature loaded 10
26/05/18 22:32:49.994 : INFO  : OK : Loading window  conection form
26/05/18 22:32:50.136 : INFO  : OK : 0
26/05/18 22:32:50.239 : INFO  : OK : ReadLanguage : C:\Program Files\Neural Labs\Neural Labs VPAR Server x64 2\Release\LANGUAGES\ENGLISH\LANG.TXT
26/05/18 22:32:50.243 : INFO  : OK : 1
26/05/18 22:32:50.824 : INFO  : OK : Connection Test OK
26/05/18 22:32:51.084 : INFO  : OK : CHECK COUNTRIES VPAR DLL
26/05/18 22:33:07.537 : INFO  : OK : LOAD COUNTRIES VPAR DLL
26/05/18 22:33:07.542 : INFO  : OK : CHECK CONFIGURATION VPS Instance
26/05/18 22:33:08.437 : INFO  : OK : LOAD CONFIGURATION VPS Instance
26/05/18 22:33:08.591 : ERROR : ERROR : URL parse failed! error: Object reference not set to an instance of an object.
26/05/18 22:33:08.641 : INFO  : OK : LoadConfiguration : C:\Program Files\Neural Labs\Neural Labs VPAR Server x64 2\Release\LANGUAGES\ENGLISH\LANG.TXT
26/05/18 22:33:08.658 : INFO  : OK : ButtonSaveConfiguration.
26/05/18 22:33:10.357 : INFO  : OK : SaveConfiguration : C:\Program Files\Neural Labs\Neural Labs VPAR Server x64 2\Release\OPTIONS\DEFAULT\CONFIGURATION.TXT
26/05/18 22:33:11.065 : INFO  : OK : CHECK COUNTRY
26/05/18 22:33:11.071 : INFO  : OK : LOAD REGION AND COUNTRY
26/05/18 22:33:12.249 : INFO  : OK : LoadConfiguration : C:\Program Files\Neural Labs\Neural Labs VPAR Server x64 2\Release\LANGUAGES\ENGLISH\LANG.TXT
26/05/18 22:33:12.436 : INFO  : OK : Started thread_Start_Subsystems 
26/05/18 22:33:12.467 : WARN  : WARNING 2 : Using IP Address : 127.0.0.1
26/05/18 22:33:12.472 : INFO  : OK : Using IP Address : 127.0.0.1
26/05/18 22:33:12.497 : INFO  : OK : Try to connect to database...
26/05/18 22:33:12.772 : INFO  : OK : Try to connect to database ... Done.
26/05/18 22:33:12.781 : INFO  : OK : Try to register ...
26/05/18 22:33:12.790 : INFO  : OK : Try to register ... Done.
26/05/18 22:33:16.504 : INFO  : OK : Analitycs engine init OK
26/05/18 22:33:17.348 : INFO  : OK : Try to load Cameras ...
26/05/18 22:33:19.200 : WARN  : WARNING 2 : Set detection preferences for camera:Subsuelo 2 : Read Always=True : Motion=False : Trigger=False
26/05/18 22:33:19.208 : WARN  : WARNING 2 : Set ANPR preferences for camera:Subsuelo 2
26/05/18 22:33:19.433 : INFO  : OK : Add camera : Id = 2 : Name = Subsuelo 2 : Location = LOCATION : Url = RTSP://admin:Fx2345678@192.168.1.11:554/Streaming/Channels/101?transportmode=unicast&profile=Profile_1&sound=True
26/05/18 22:33:19.440 : WARN  : WARNING 2 : Set detection preferences for camera:Subsuelo 1 : Read Always=True : Motion=False : Trigger=False
26/05/18 22:33:19.445 : WARN  : WARNING 2 : Set ANPR preferences for camera:Subsuelo 1
26/05/18 22:33:19.454 : INFO  : OK : Add camera : Id = 1 : Name = Subsuelo 1 : Location = LOCATION : Url = RTSP://admin:Fx2345678@192.168.1.12:554/Streaming/Channels/101?transportmode=unicast&profile=Profile_1&sound=True
26/05/18 22:33:19.613 : INFO  : OK : Created location group ...LOCATION
26/05/18 22:33:19.619 : INFO  : OK : Camera Subsuelo 2 Joined location group ...LOCATION
26/05/18 22:33:19.626 : INFO  : OK : Camera Subsuelo 1 Joined location group ...LOCATION
26/05/18 22:33:19.633 : INFO  : OK : Loaded Cameras ...
